Rule,Instance,Algorithm,Run,Type,Precision,Recall,F1,ED,HV,Time
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_9,QIMIG,9.0,INTEGRATED,0.998015873,0.773846154,0.83720855,0.22616254955350995,0.7723107449520025,226.0606892
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_15,QIMIG,15.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,169.2569122
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_7,QIMIG,7.0,INTEGRATED,1.0,0.766153846,0.833268809,0.23384615399999997,0.766153846,245.4278803
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_8,QIMIG,8.0,INTEGRATED,0.998023715,0.776923077,0.839257628,0.22308567698879544,0.775387655576771,231.5117843
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_19,QIMIG,19.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,145.0959191
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_18,QIMIG,18.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,157.642483
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_1,QIMIG,1.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,148.9757032
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_20,QIMIG,20.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,154.5535471
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_22,QIMIG,22.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,151.629765
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_21,QIMIG,21.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,166.7820301
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_24,QIMIG,24.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,152.0455382
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_26,QIMIG,26.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,148.1401947
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_25,QIMIG,25.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,154.0447793
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_7,QIMIG,7.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,118.0748391
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_23,QIMIG,23.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,163.8871737
