Rule,Algorithm,Run,F1
Rule1,QF-MIG,4,0.5648494912379876
Rule1,QF-MIG,5,0.5709437963944857
Rule1,QF-MIG,6,0.5692802062228814
Rule1,QF-MIG,7,0.564432066839069
Rule1,QF-MIG,8,0.5713812783876477
Rule1,QF-MIG,9,0.5766764684788066
Rule1,QF-MIG,10,0.5775054646618534
Rule1,QF-MIG,11,0.5595196422162714
Rule1,QF-MIG,12,0.5620897687666968
Rule1,QF-MIG,13,0.583916083916084
Rule1,QF-MIG,14,0.5807486631016043
Rule1,QF-MIG,15,0.560487914787211
Rule1,QF-MIG,16,0.5565269609141807
Rule1,QF-MIG,17,0.5775054646618534
Rule1,QF-MIG,18,0.5711995760747168
Rule1,QF-MIG,19,0.5687109948199354
Rule1,QF-MIG,20,0.5733768957372127
Rule1,QF-MIG,21,0.5775446404917077
Rule1,QF-MIG,22,0.5678190475874889
Rule1,QF-MIG,23,0.5723086331038487
Rule1,QF-MIG,24,0.5650319829424306
Rule1,QF-MIG,25,0.5754035017994745
Rule1,QF-MIG,26,0.563670740825412
Rule1,QF-MIG,27,0.5678190475874889
Rule1,QF-MIG,28,0.575538456784401
Rule1,QF-MIG,29,0.5766241476611236
Rule1,QF-MIG,0,0.584026269795032
Rule1,QF-MIG,1,0.571275304090598
Rule1,QF-MIG,2,0.5700816735289214
Rule1,QF-MIG,3,0.5714266799073154
Rule1,QF-MIG,6,0.5613819346156523
Rule1,QF-MIG,4,0.5840336134453782
Rule1,QF-MIG,5,0.5542362399505256
Rule1,QF-MIG,7,0.583916083916084
Rule1,QF-MIG,8,0.5509309942941731
Rule1,QF-MIG,9,0.5756002824858757
Rule1,QF-MIG,10,0.5892816356705046
Rule1,QF-MIG,11,0.5667967006993564
Rule1,QF-MIG,12,0.5616221737570053
Rule1,QF-MIG,15,0.5808781908760392
Rule1,QF-MIG,13,0.5699791156568518
Rule1,QF-MIG,14,0.5773113438862651
Rule1,QF-MIG,17,0.5623994484026661
Rule1,QF-MIG,16,0.5732581967213115
Rule1,QF-MIG,18,0.5797132160768524
Rule1,QF-MIG,19,0.5732110756292871
Rule1,QF-MIG,20,0.5658272368384728
Rule1,QF-MIG,21,0.5503746840763415
Rule1,QF-MIG,22,0.5688996293367381
Rule1,QF-MIG,24,0.5558582262807614
Rule1,QF-MIG,23,0.5583849861498292
Rule1,QF-MIG,25,0.5850615996601398
Rule1,QF-MIG,27,0.5669516676088185
Rule1,QF-MIG,26,0.5773654916512059
Rule1,QF-MIG,28,0.5777012711864407
Rule1,QF-MIG,29,0.5666741792502441
Rule1,QF-MIG,0,0.5667373630258041
Rule1,QF-MIG,1,0.5742373630014079
Rule1,QF-MIG,3,0.5776117821572366
Rule1,QF-MIG,2,0.5702980240251176
Rule1,QF-MIG,5,0.569006258640413
Rule1,QF-MIG,4,0.5796816706770569
