Rule,Instance,Algorithm,Run,Type,Group,Param_Value,Precision,Recall,F1,ED,HV,Time
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_10,Q_GUIDED,10,SENS,GREEDY_RATIO,0.4,0.9941060903732809,0.7784615384615384,0.8379255433114638,0.22161684979151824,0.7738733565059694,55.50932288169861
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_10,Q_GUIDED,10,SENS,LEARNING_RATE,0.4,0.9920159680638723,0.7646153846153846,0.8275487681477969,0.2355199820094262,0.7585106709657607,58.24094891548157
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_10,Q_GUIDED,10,SENS,GREEDY_RATIO,0.5,1.0,0.7707692307692308,0.8363360920638327,0.22923076923076924,0.7707692307692308,57.01028561592102
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_10,Q_GUIDED,10,SENS,HYBRID_RATIO,0.5,1.0,0.7692307692307693,0.835313112674432,0.23076923076923073,0.7692307692307693,58.19863247871399
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_10,Q_GUIDED,10,SENS,GREEDY_RATIO,0.1,0.9959758551307847,0.7615384615384615,0.8278617817544821,0.23849549066465017,0.7584739204457513,58.19246053695679
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_10,Q_GUIDED,10,SENS,GREEDY_RATIO,0.2,1.0,0.7753846153846153,0.8394084344309647,0.22461538461538466,0.7753846153846153,58.223140478134155
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_10,Q_GUIDED,10,SENS,HYBRID_RATIO,0.7,1.0,0.7630769230769231,0.8312266596674449,0.2369230769230769,0.7630769230769231,65.55136132240295
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_11,Q_GUIDED,11,SENS,LEARNING_RATE,0.05,0.998,0.7676923076923077,0.8331172875100912,0.23231630141969256,0.7661569230769231,63.04388403892517
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_10,Q_GUIDED,10,SENS,POP_SIZE,250,0.9920318725099602,0.7661538461538462,0.8285682624113475,0.23398186836662488,0.7600490346307079,70.26841902732849
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_11,Q_GUIDED,11,SENS,POP_SIZE,250,0.9980237154150198,0.7769230769230769,0.8392576281849637,0.22308567706203883,0.7753876558224384,66.83316969871521
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_11,Q_GUIDED,11,SENS,LEARNING_RATE,0.15,0.9960159362549801,0.7692307692307693,0.8329639479905437,0.23080361919551184,0.7661661048115231,65.46351289749146
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_10,Q_GUIDED,10,SENS,POP_SIZE,300,0.9901574803149606,0.7738461538461539,0.832492927160168,0.22636792467999503,0.766229557843731,76.13135242462158
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_11,Q_GUIDED,11,SENS,LEARNING_RATE,0.4,0.9941060903732809,0.7784615384615384,0.8379255433114638,0.22161684979151824,0.7738733565059694,70.29797649383545
